
# metamind flat taxonomy

++ http://vital.ai/vital/metamind-app/801 "hoopskirt, crinoline"

++ http://vital.ai/vital/metamind-app/802 "menu"

++ http://vital.ai/vital/metamind-app/803 "stage"

++ http://vital.ai/vital/metamind-app/804 "bonnet, poke bonnet"

++ http://vital.ai/vital/metamind-app/805 "meat loaf, meatloaf"

++ http://vital.ai/vital/metamind-app/806 "baseball"

++ http://vital.ai/vital/metamind-app/807 "face powder"

++ http://vital.ai/vital/metamind-app/808 "scabbard"

++ http://vital.ai/vital/metamind-app/809 "sunscreen, sunblock, sun blocker"

++ http://vital.ai/vital/metamind-app/810 "beer glass"

++ http://vital.ai/vital/metamind-app/811 "hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa"

++ http://vital.ai/vital/metamind-app/812 "guacamole"

++ http://vital.ai/vital/metamind-app/813 "lampshade, lamp shade"

++ http://vital.ai/vital/metamind-app/814 "wool, woolen, woollen"

++ http://vital.ai/vital/metamind-app/815 "hay"

++ http://vital.ai/vital/metamind-app/816 "bow tie, bow-tie, bowtie"

++ http://vital.ai/vital/metamind-app/817 "mailbag, postbag"

++ http://vital.ai/vital/metamind-app/818 "water jug"

++ http://vital.ai/vital/metamind-app/819 "bucket, pail"

++ http://vital.ai/vital/metamind-app/820 "dishrag, dishcloth"

++ http://vital.ai/vital/metamind-app/821 "soup bowl"

++ http://vital.ai/vital/metamind-app/822 "eggnog"

++ http://vital.ai/vital/metamind-app/823 "mortar"

++ http://vital.ai/vital/metamind-app/824 "trench coat"

++ http://vital.ai/vital/metamind-app/825 "paddle, boat paddle"

++ http://vital.ai/vital/metamind-app/826 "chain"

++ http://vital.ai/vital/metamind-app/827 "swab, swob, mop"

++ http://vital.ai/vital/metamind-app/828 "mixing bowl"

++ http://vital.ai/vital/metamind-app/829 "potpie"

++ http://vital.ai/vital/metamind-app/830 "wine bottle"

++ http://vital.ai/vital/metamind-app/831 "shoji"

++ http://vital.ai/vital/metamind-app/832 "bulletproof vest"

++ http://vital.ai/vital/metamind-app/833 "drilling platform, offshore rig"

++ http://vital.ai/vital/metamind-app/834 "binder, ring-binder"

++ http://vital.ai/vital/metamind-app/835 "cardigan"

++ http://vital.ai/vital/metamind-app/836 "sweatshirt"

++ http://vital.ai/vital/metamind-app/837 "pot, flowerpot"

++ http://vital.ai/vital/metamind-app/838 "birdhouse"

++ http://vital.ai/vital/metamind-app/839 "hamper"

++ http://vital.ai/vital/metamind-app/840 "ping-pong ball"

++ http://vital.ai/vital/metamind-app/841 "pencil box, pencil case"

++ http://vital.ai/vital/metamind-app/842 "pay-phone, pay-station"

++ http://vital.ai/vital/metamind-app/843 "consomme"

++ http://vital.ai/vital/metamind-app/844 "apron"

++ http://vital.ai/vital/metamind-app/845 "punching bag, punch bag, punching ball, punchball"

++ http://vital.ai/vital/metamind-app/846 "backpack, back pack, knapsack, packsack, rucksack, haversack"

++ http://vital.ai/vital/metamind-app/847 "groom, bridegroom"

++ http://vital.ai/vital/metamind-app/848 "bearskin, busby, shako"

++ http://vital.ai/vital/metamind-app/849 "pencil sharpener"

++ http://vital.ai/vital/metamind-app/850 "broom"

++ http://vital.ai/vital/metamind-app/851 "mosquito net"

++ http://vital.ai/vital/metamind-app/852 "abaya"

++ http://vital.ai/vital/metamind-app/853 "mortarboard"

++ http://vital.ai/vital/metamind-app/854 "poncho"

++ http://vital.ai/vital/metamind-app/855 "crutch"

++ http://vital.ai/vital/metamind-app/856 "Polaroid camera, Polaroid Land camera"

++ http://vital.ai/vital/metamind-app/857 "space bar"

++ http://vital.ai/vital/metamind-app/858 "cup"

++ http://vital.ai/vital/metamind-app/859 "racket, racquet"

++ http://vital.ai/vital/metamind-app/860 "traffic light, traffic signal, stoplight"

++ http://vital.ai/vital/metamind-app/861 "quill, quill pen"

++ http://vital.ai/vital/metamind-app/862 "radio, wireless"

++ http://vital.ai/vital/metamind-app/863 "dough"

++ http://vital.ai/vital/metamind-app/864 "cuirass"

++ http://vital.ai/vital/metamind-app/865 "military uniform"

++ http://vital.ai/vital/metamind-app/866 "lipstick, lip rouge"

++ http://vital.ai/vital/metamind-app/867 "shower cap"

++ http://vital.ai/vital/metamind-app/868 "monitor"

++ http://vital.ai/vital/metamind-app/869 "oscilloscope, scope, cathode-ray oscilloscope, CRO"

++ http://vital.ai/vital/metamind-app/870 "mitten"

++ http://vital.ai/vital/metamind-app/871 "brassiere, bra, bandeau"

++ http://vital.ai/vital/metamind-app/872 "French loaf"

++ http://vital.ai/vital/metamind-app/873 "vase"

++ http://vital.ai/vital/metamind-app/874 "milk can"

++ http://vital.ai/vital/metamind-app/875 "rugby ball"

++ http://vital.ai/vital/metamind-app/876 "paper towel"

++ http://vital.ai/vital/metamind-app/877 "earthstar"

++ http://vital.ai/vital/metamind-app/878 "envelope"

++ http://vital.ai/vital/metamind-app/879 "miniskirt, mini"

++ http://vital.ai/vital/metamind-app/880 "cowboy hat, ten-gallon hat"

++ http://vital.ai/vital/metamind-app/881 "trolleybus, trolley coach, trackless trolley"

++ http://vital.ai/vital/metamind-app/882 "perfume, essence"

++ http://vital.ai/vital/metamind-app/883 "bathtub, bathing tub, bath, tub"

++ http://vital.ai/vital/metamind-app/884 "hotdog, hot dog, red hot"

++ http://vital.ai/vital/metamind-app/885 "coral fungus"

++ http://vital.ai/vital/metamind-app/886 "bullet train, bullet"

++ http://vital.ai/vital/metamind-app/887 "pillow"

++ http://vital.ai/vital/metamind-app/888 "toilet tissue, toilet paper, bathroom tissue"

++ http://vital.ai/vital/metamind-app/889 "cassette"

++ http://vital.ai/vital/metamind-app/890 "carpenter's kit, tool kit"

++ http://vital.ai/vital/metamind-app/891 "ladle"

++ http://vital.ai/vital/metamind-app/892 "stinkhorn, carrion fungus"

++ http://vital.ai/vital/metamind-app/893 "lotion"

++ http://vital.ai/vital/metamind-app/894 "hair spray"

++ http://vital.ai/vital/metamind-app/895 "academic gown, academic robe, judge's robe"

++ http://vital.ai/vital/metamind-app/896 "dome"

++ http://vital.ai/vital/metamind-app/897 "crate"

++ http://vital.ai/vital/metamind-app/898 "wig"

++ http://vital.ai/vital/metamind-app/899 "burrito"

++ http://vital.ai/vital/metamind-app/900 "pill bottle"

++ http://vital.ai/vital/metamind-app/901 "chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour"

++ http://vital.ai/vital/metamind-app/902 "theater curtain, theatre curtain"

++ http://vital.ai/vital/metamind-app/903 "window shade"

++ http://vital.ai/vital/metamind-app/904 "barrel, cask"

++ http://vital.ai/vital/metamind-app/905 "washbasin, handbasin, washbowl, lavabo, wash-hand basin"

++ http://vital.ai/vital/metamind-app/906 "ballpoint, ballpoint pen, ballpen, Biro"

++ http://vital.ai/vital/metamind-app/907 "basketball"

++ http://vital.ai/vital/metamind-app/908 "bath towel"

++ http://vital.ai/vital/metamind-app/909 "cowboy boot"

++ http://vital.ai/vital/metamind-app/910 "gown"

++ http://vital.ai/vital/metamind-app/911 "window screen"

++ http://vital.ai/vital/metamind-app/912 "agaric"

++ http://vital.ai/vital/metamind-app/913 "cellular telephone, cellular phone, cellphone, cell, mobile phone"

++ http://vital.ai/vital/metamind-app/914 "nipple"

++ http://vital.ai/vital/metamind-app/915 "barbell"

++ http://vital.ai/vital/metamind-app/916 "mailbox, letter box"

++ http://vital.ai/vital/metamind-app/917 "lab coat, laboratory coat"

++ http://vital.ai/vital/metamind-app/918 "fire screen, fireguard"

++ http://vital.ai/vital/metamind-app/919 "minibus"

++ http://vital.ai/vital/metamind-app/920 "packet"

++ http://vital.ai/vital/metamind-app/921 "maze, labyrinth"

++ http://vital.ai/vital/metamind-app/922 "pole"

++ http://vital.ai/vital/metamind-app/923 "horizontal bar, high bar"

++ http://vital.ai/vital/metamind-app/924 "sombrero"

++ http://vital.ai/vital/metamind-app/925 "pickelhaube"

++ http://vital.ai/vital/metamind-app/926 "rain barrel"

++ http://vital.ai/vital/metamind-app/927 "wallet, billfold, notecase, pocketbook"

++ http://vital.ai/vital/metamind-app/928 "cassette player"

++ http://vital.ai/vital/metamind-app/929 "comic book"

++ http://vital.ai/vital/metamind-app/930 "piggy bank, penny bank"

++ http://vital.ai/vital/metamind-app/931 "street sign"

++ http://vital.ai/vital/metamind-app/932 "bell cote, bell cot"

++ http://vital.ai/vital/metamind-app/933 "fountain pen"

++ http://vital.ai/vital/metamind-app/934 "Windsor tie"

++ http://vital.ai/vital/metamind-app/935 "volleyball"

++ http://vital.ai/vital/metamind-app/936 "overskirt"

++ http://vital.ai/vital/metamind-app/937 "sarong"

++ http://vital.ai/vital/metamind-app/938 "purse"

++ http://vital.ai/vital/metamind-app/939 "bolo tie, bolo, bola tie, bola"

++ http://vital.ai/vital/metamind-app/940 "bib"

++ http://vital.ai/vital/metamind-app/941 "parachute, chute"

++ http://vital.ai/vital/metamind-app/942 "sleeping bag"

++ http://vital.ai/vital/metamind-app/943 "television, television system"

++ http://vital.ai/vital/metamind-app/944 "swimming trunks, bathing trunks"

++ http://vital.ai/vital/metamind-app/945 "measuring cup"

++ http://vital.ai/vital/metamind-app/946 "espresso"

++ http://vital.ai/vital/metamind-app/947 "pizza, pizza pie"

++ http://vital.ai/vital/metamind-app/948 "breastplate, aegis, egis"

++ http://vital.ai/vital/metamind-app/949 "shopping basket"

++ http://vital.ai/vital/metamind-app/950 "wooden spoon"

++ http://vital.ai/vital/metamind-app/951 "saltshaker, salt shaker"

++ http://vital.ai/vital/metamind-app/952 "chocolate sauce, chocolate syrup"

++ http://vital.ai/vital/metamind-app/953 "ballplayer, baseball player"

++ http://vital.ai/vital/metamind-app/954 "goblet"

++ http://vital.ai/vital/metamind-app/955 "gyromitra"

++ http://vital.ai/vital/metamind-app/956 "stretcher"

++ http://vital.ai/vital/metamind-app/957 "water bottle"

++ http://vital.ai/vital/metamind-app/958 "dial telephone, dial phone"

++ http://vital.ai/vital/metamind-app/959 "soap dispenser"

++ http://vital.ai/vital/metamind-app/960 "jersey, T-shirt, tee shirt"

++ http://vital.ai/vital/metamind-app/961 "school bus"

++ http://vital.ai/vital/metamind-app/962 "jigsaw puzzle"

++ http://vital.ai/vital/metamind-app/963 "plastic bag"

++ http://vital.ai/vital/metamind-app/964 "reflex camera"

++ http://vital.ai/vital/metamind-app/965 "diaper, nappy, napkin"

++ http://vital.ai/vital/metamind-app/966 "Band Aid"

++ http://vital.ai/vital/metamind-app/967 "ice lolly, lolly, lollipop, popsicle"

++ http://vital.ai/vital/metamind-app/968 "velvet"

++ http://vital.ai/vital/metamind-app/969 "tennis ball"

++ http://vital.ai/vital/metamind-app/970 "gasmask, respirator, gas helmet"

++ http://vital.ai/vital/metamind-app/971 "doormat, welcome mat"

++ http://vital.ai/vital/metamind-app/972 "Loafer"

++ http://vital.ai/vital/metamind-app/973 "ice cream, icecream"

++ http://vital.ai/vital/metamind-app/974 "pretzel"

++ http://vital.ai/vital/metamind-app/975 "quilt, comforter, comfort, puff"

++ http://vital.ai/vital/metamind-app/976 "maillot, tank suit"

++ http://vital.ai/vital/metamind-app/977 "tape player"

++ http://vital.ai/vital/metamind-app/978 "clog, geta, patten, sabot"

++ http://vital.ai/vital/metamind-app/979 "iPod"

++ http://vital.ai/vital/metamind-app/980 "bolete"

++ http://vital.ai/vital/metamind-app/981 "scuba diver"

++ http://vital.ai/vital/metamind-app/982 "pitcher, ewer"

++ http://vital.ai/vital/metamind-app/983 "matchstick"

++ http://vital.ai/vital/metamind-app/984 "bikini, two-piece"

++ http://vital.ai/vital/metamind-app/985 "sock"

++ http://vital.ai/vital/metamind-app/986 "CD player"

++ http://vital.ai/vital/metamind-app/987 "lens cap, lens cover"

++ http://vital.ai/vital/metamind-app/988 "thatch, thatched roof"

++ http://vital.ai/vital/metamind-app/989 "vault"

++ http://vital.ai/vital/metamind-app/990 "beaker"

++ http://vital.ai/vital/metamind-app/991 "bubble"

++ http://vital.ai/vital/metamind-app/992 "cheeseburger"

++ http://vital.ai/vital/metamind-app/993 "parallel bars, bars"

++ http://vital.ai/vital/metamind-app/994 "flagpole, flagstaff"

++ http://vital.ai/vital/metamind-app/995 "coffee mug"

++ http://vital.ai/vital/metamind-app/996 "rubber eraser, rubber, pencil eraser"

++ http://vital.ai/vital/metamind-app/997 "stole"

++ http://vital.ai/vital/metamind-app/998 "carbonara"

++ http://vital.ai/vital/metamind-app/999 "dumbbell"
